,Name,Political Party,Twitter Handle
312,Xolisile Shinars Qayiso,African National Congress (ANC),
313,Mr Bhekizizwe Abram Radebe,African National Congress (ANC),
314,Matodzi Mirriam Ramadwa,African National Congress (ANC),
315,Adrian Christopher Roos,Democratic Alliance (DA),
316,Ashor Sarupen,Democratic Alliance (DA),@AshorSarupen
317,Leon Amos Schreiber,Democratic Alliance (DA),@Leon_Schreib
318,Albert Mammoga Seabi,African National Congress (ANC),
319,Isaac Sello Seitlholo,Democratic Alliance (DA),@seitlholo
320,Mr James Selfe,Democratic Alliance (DA),@JAMESSELFE3
321,Ms Machwene Rosina Semenya,African National Congress (ANC),
322,Constance Seoposengwe,African National Congress (ANC),
323,Lizzie Fikelephi Shabalala,African National Congress (ANC),
324,Nomvuzo Francisca Shabalala,African National Congress (ANC),
325,Mr Ahmed Munzoor Shaik Emam,National Freedom Party (NFP),
326,Nazley Khan Sharif,Democratic Alliance (DA),@NazleySharif
327,Mr Maliyakhe Lymon Shelembe,Democratic Alliance (DA),
328,Henry Andries Shembeni,Economic Freedom Fighters (EFF),
329,Mr Nyiko Floyd Shivambu,Economic Freedom Fighters (EFF),@FloydShivambu
330,Christopher Howard Mzwakhe Sibisi,National Freedom Party (NFP),
331,Duduzile Patricia Sibiya,African National Congress (ANC),
332,Nomadewuka Nancy Sihlwayi,African National Congress (ANC),
333,Patrick Sindane,Economic Freedom Fighters (EFF),
334,Mr Narend Singh,Inkatha Freedom Party (IFP),
335,Ms Lindiwe Sisulu,African National Congress (ANC),@LindiweSisuluSA
336,Mr Khethamabala Petros Sithole,Inkatha Freedom Party (IFP),
337,Mr Elvis Kholwana Siwela,African National Congress (ANC),
338,Violet Sizani Siwela,African National Congress (ANC),
339,Rhulani Thembi Siweya,African National Congress (ANC),@ThembiSiweya
340,Annacleta Mathapelo Siwisa,Economic Freedom Fighters (EFF),@Mathapelo_annac
341,Mr Gijimani Jim Skosana,African National Congress (ANC),
342,Mr Mcebisi Skwatsha,African National Congress (ANC),
343,Mr Vincent George Smith,African National Congress (ANC),
