name,political_party,twitter_account,wiki_data,last_updated
Mr Mosiuoa Gerard Patrick Lekota,COPE,mtlekota,https://www.wikidata.org/wiki/Q982259,2019-07-31
Ms Regina Mina Mpontseng Lesoma,ANC,none_found,https://www.wikidata.org/wiki/Q47529862,2019-07-31
Mr Walter Tebogo Letsie,ANC,,https://www.wikidata.org/wiki/Q64399321,2019-07-31
Mr Johan Jaco Londt,DA,jacolondt,https://www.wikidata.org/wiki/Q56738077,2019-07-31
Mr James Robert Bourne Lorimer,DA,JamesRLorimer,https://www.wikidata.org/wiki/Q6138223,2019-07-31
Dr Annelie Lotriet,DA,annelielotriet,https://www.wikidata.org/wiki/Q4768956,2019-07-31
Ms Marubini Lourane Lubengo,ANC,none_found,https://www.wikidata.org/wiki/Q64399363,2019-07-31
Ms Sylvia Elizabeth Lucas,ANC,ncpremier,https://www.wikidata.org/wiki/Q13393272,
Inkosi Bhekizizwe Nivard Luthuli,IFP,none_found,https://www.wikidata.org/wiki/Q64399425,
Ms S'lindile Ann Luthuli,EFF,annluthuli,,
Mr Sahlulele Luzipo,ANC,none_found,https://www.wikidata.org/wiki/Q47529680,
Mr Jerome Joseph Maake,ANC,none_found,https://www.wikidata.org/wiki/Q16744439,
Ms Bertha Peace Mabe,ANC,mabebertha,https://www.wikidata.org/wiki/Q47530161,
Ms Thamsanqa Bhekokwakhe Mabhena,DA,SoMathamsanqa,https://www.wikidata.org/wiki/Q64399447,
Mr Mandlenkosi Sicelo Mabika,DA,none_found,https://www.wikidata.org/wiki/Q47529738,
Ms Maidi Dorothy Mabiletsa,ANC,none_found,https://www.wikidata.org/wiki/Q64399323,
Mr David Dabede Mabuza,ANC,DDMabuza,https://www.wikidata.org/wiki/Q55351012,
Mr Cameron Mackenzie,DA,cameronmackenz2,https://www.wikidata.org/wiki/Q47529720,
Mr Dean William Macpherson,DA,DeanMacpherson,https://www.wikidata.org/wiki/Q18217607,
Mr William Mothipa Madisha,COPE,williemadisha,https://www.wikidata.org/wiki/Q8015883,
Mr Brian Sindile Madlingozi,EFF,ndiyagodola,https://www.wikidata.org/wiki/Q64399434,
Mr Washington Tseko Isaac Mafanya,EFF,tsekomafanya,https://www.wikidata.org/wiki/Q64399444,
Ms Nocawe Noncedo Mafu,ANC,MafuNoncedo,https://www.wikidata.org/wiki/Q47529638,
Mr Dikeledi Phillistus Magadzi,ANC,none_found,https://www.wikidata.org/wiki/Q47529867,
Mr Khayalethu Elvis Magaxa,ANC,none_found,https://www.wikidata.org/wiki/Q64399399,
Mr Gratitude Magwanishe,ANC,none_found,https://www.wikidata.org/wiki/Q16746826,
Ms Tandi Mahambehlala,ANC,mahambehlalat,https://www.wikidata.org/wiki/Q47529915,
Mr Amos Fish Mahlalela,ANC,cdefishfm18,https://www.wikidata.org/wiki/Q26206862,
Ms Dikeledi Gladys Mahlangu,ANC,none_found,https://www.wikidata.org/wiki/Q47529636,
Ms Kathleen Dibolelo Mahlatsi,ANC,none_found,https://www.wikidata.org/wiki/Q64399298,
Mr Mikateko Golden Mahlaule,ANC,none_found,https://www.wikidata.org/wiki/Q64399453,
Ms Nhlagongwe Patricia Mahlo,ANC,none_found,https://www.wikidata.org/wiki/Q64399362,
Mr Mbangiseni David Mahlobo,ANC,davidmahlobo,https://www.wikidata.org/wiki/Q20981694,
Mr Supra Obakeng Ramoeletsi Mahumapelo,ANC,supramahumapelo,https://www.wikidata.org/wiki/Q28043267,
Mr Mmusi Aloysias Maimane,DA,MmusiMaimane,https://www.wikidata.org/wiki/Q6885827,
Ms Pemmy Castelina Pamela Majodina,ANC,majodinapemm,https://www.wikidata.org/wiki/Q64399470,
Mr Fikile Zachariah Majola,ANC,fikilemajola,https://www.wikidata.org/wiki/Q47529868,
Mr Thembekile Richard Majola,DA,none_found,https://www.wikidata.org/wiki/Q47529820,
Ms Zandile Majozi,IFP,none_found,https://www.wikidata.org/wiki/Q64399426,
Ms Lusizo Sharon Makhubela-Mashele,ANC,none_found,https://www.wikidata.org/wiki/Q16746833,
Mr Sampson Phathakge Makwetla,ANC,none_thabangmakwetla,https://www.wikidata.org/wiki/Q16747373,
Mr Thlologelo Malatji,ANC,Collen_Malatji3,https://www.wikidata.org/wiki/Q64399318,
Mr Mmoba Solomon Malatsi,DA,SollyMalatsi,https://www.wikidata.org/wiki/Q47529927,
Ms Audrey Dimakatso Maleka,ANC,none_found,,
Mr Julius Sello Malema,EFF,Julius_S_Malema,https://www.wikidata.org/wiki/Q983163,
Ms Valentia Thokozile Malinga,ANC,none_found,https://www.wikidata.org/wiki/Q64399379,
Ms Vuyisile Promise Malomane,ANC,none_found,https://www.wikidata.org/wiki/Q64399377,
Ms Boitumelo Maluleke,ANC,none_found,,
Mr Jacob Boy Mamabolo,ANC,boymamabolo,https://www.wikidata.org/wiki/Q64399372,
Ms Mmamora Lilliet Mamaregane,ANC,none_found,,
Mr Kgwaridi Buti Manamela,ANC,ButiManamela,https://www.wikidata.org/wiki/Q16747385,
Ms Jane Seboletswe Mananiso,ANC,none_found,https://www.wikidata.org/wiki/Q64399454,
Mr Zwelivelile Mandlesizwe Dalibhunga Mandela,ANC,nkoszwelivelile,https://www.wikidata.org/wiki/Q437046,
Mr Boyce Makhosonke Maneli,ANC,none_found,https://www.wikidata.org/wiki/Q64399332,
Ms Jane Manganye,ANC,none_found,https://www.wikidata.org/wiki/Q64399393,
Mr Lisa Nkosinathi Mangcu,ANC,none_found,https://www.wikidata.org/wiki/Q64399316,
Ms Priscilla Tozama Mantashe,ANC,none_found,https://www.wikidata.org/wiki/Q47529646,
